Date,Open,High,Low,Close,O1,O2,O3
8/9/2019,2930.51001,2935.75,2900.149902,2918.649902,0,1,0
8/12/2019,2907.070068,2907.580078,2873.139893,2882.699951,0,1,0
8/13/2019,2880.719971,2943.310059,2877.050049,2926.320068,1,1,0
8/14/2019,2894.149902,2894.149902,2839.639893,2840.600098,0,1,0
8/15/2019,2846.199951,2856.669922,2825.51001,2847.600098,1,1,0
8/16/2019,2864.73999,2893.629883,2864.73999,2888.679932,1,1,1
8/19/2019,2913.47998,2931,2913.47998,2923.649902,1,1,1
8/20/2019,2919.01001,2923.629883,2899.600098,2900.51001,0,1,0
8/21/2019,2922.040039,2928.72998,2917.909912,2924.429932,1,1,0
8/22/2019,2930.939941,2939.080078,2904.51001,2922.949951,0,1,0
8/23/2019,2911.070068,2927.01001,2834.969971,2847.110107,0,1,0
8/26/2019,2866.699951,2879.27002,2856,2878.379883,1,1,0
8/27/2019,2893.139893,2898.790039,2860.590088,2869.159912,0,1,0
8/28/2019,2861.280029,2890.030029,2853.050049,2887.939941,1,1,0
8/29/2019,2910.370117,2930.5,2905.669922,2924.580078,1,1,0
8/30/2019,2937.090088,2940.429932,2913.320068,2926.459961,0,1,0
9/3/2019,2909.01001,2914.389893,2891.850098,2906.27002,0,1,0
9/4/2019,2924.669922,2938.840088,2921.860107,2937.780029,1,1,0
9/5/2019,2960.600098,2985.860107,2960.600098,2976,1,1,1
9/6/2019,2980.330078,2985.030029,2972.51001,2978.709961,0,1,0
9/9/2019,2988.429932,2989.429932,2969.389893,2978.429932,0,1,0
9/10/2019,2971.01001,2979.389893,2957.01001,2979.389893,1,1,0
9/11/2019,2981.409912,3000.929932,2975.310059,3000.929932,1,1,0
9/12/2019,3009.080078,3020.73999,3000.919922,3009.570068,1,1,0
9/13/2019,3012.209961,3017.330078,3002.899902,3007.389893,0,1,0
9/16/2019,2996.409912,3002.189941,2990.669922,2997.959961,1,1,0
9/17/2019,2995.669922,3006.209961,2993.72998,3005.699951,1,1,0
9/18/2019,3001.5,3007.830078,2978.570068,3006.72998,1,1,0
9/19/2019,3010.360107,3021.98999,3003.159912,3006.790039,0,1,0
9/20/2019,3008.419922,3016.370117,2984.679932,2992.070068,0,1,0
9/23/2019,2983.5,2999.149902,2982.22998,2991.780029,1,1,0
9/24/2019,3002.429932,3007.97998,2957.72998,2966.600098,0,1,0
9/25/2019,2968.350098,2989.820068,2952.860107,2984.870117,1,1,0
9/26/2019,2985.72998,2987.280029,2963.709961,2977.620117,0,1,0
9/27/2019,2985.469971,2987.310059,2945.530029,2961.790039,0,1,0
9/30/2019,2967.070068,2983.850098,2967.070068,2976.73999,1,1,1
10/1/2019,2983.689941,2992.530029,2938.699951,2940.25,0,1,0
10/2/2019,2924.780029,2924.780029,2874.929932,2887.610107,0,1,0
10/3/2019,2885.379883,2911.129883,2855.939941,2910.629883,1,1,0
10/4/2019,2918.560059,2953.73999,2918.560059,2952.01001,1,1,1
10/7/2019,2944.22998,2959.75,2935.679932,2938.790039,0,1,0
10/8/2019,2920.399902,2925.469971,2892.659912,2893.060059,0,1,0
10/9/2019,2911.100098,2929.320068,2907.409912,2919.399902,1,1,0
10/10/2019,2918.550049,2948.459961,2917.120117,2938.129883,1,1,0
10/11/2019,2963.070068,2993.280029,2963.070068,2970.27002,1,1,1
10/14/2019,2965.810059,2972.840088,2962.939941,2966.149902,1,1,0
10/15/2019,2973.610107,3003.280029,2973.610107,2995.679932,1,1,1
10/16/2019,2989.679932,2997.540039,2985.199951,2989.689941,1,1,0
10/17/2019,3000.77002,3008.290039,2991.790039,2997.949951,0,1,0
10/18/2019,2996.840088,3000,2976.310059,2986.199951,0,1,0
10/21/2019,2996.47998,3007.330078,2995.350098,3006.719971,1,1,0
10/22/2019,3010.72998,3014.570068,2995.040039,2995.98999,0,1,0
10/23/2019,2994.01001,3004.780029,2991.209961,3004.52002,1,1,0
10/24/2019,3014.780029,3016.070068,3000.419922,3010.290039,0,1,0
10/25/2019,3003.320068,3027.389893,3001.939941,3022.550049,1,1,0
10/28/2019,3032.120117,3044.080078,3032.120117,3039.419922,1,1,1
10/29/2019,3035.389893,3047.870117,3034.810059,3036.889893,1,1,0
