2020-02-12 @Miami FL                 85  Boston College           58           
2020-02-12  Bridgewater VA           85 @Randolph Col             80           
2020-02-12 @Cent Arkansas            73  New Orleans              68           
2020-02-12 @College of NJ            86  NJ City                  66           
2020-02-12  North Georgia            73 @Columbus St              66           
2020-02-12 @Concordia CA             84  Hawaii Pacific           68           
2020-02-12 @Cornerstone              68  Lourdes                  63           
2020-02-12  Florida                  78 @Texas A&M                61           
2020-02-12  Framingham St            67 @MA Liberal Arts          64           
2020-02-12 @Westminster PA           79  Geneva                   71           
2020-02-12  South Carolina           75 @Georgia                  59           
2020-02-12 @Nicholls St              69  Lamar                    65           
2020-02-12  Lancaster Bib            71 @Penn Col Tech            52           
2020-02-12  Lincoln Mem              94 @UVA-Wise                 76           
2020-02-12 @Nova SE                 104  Lynn                     71           
2020-02-12  Rowan                   101 @Wm Paterson              61           
2020-02-12  Sam Houston St           79 @SE Louisiana             70           
2020-02-12 @Valparaiso               55  S Illinois               38           
2020-02-12 @WV State                 97  WV Wesleyan              87 O1        
2020-02-12 @Albertus Magnus         105  Lasell                   97           
2020-02-12  Albright                 74 @Widener                  71           
2020-02-12 @Army                     65  Lafayette                48           
2020-02-12 @Pomona Pitzer            70  Caltech                  59           
2020-02-12 @Carson-Newman            70  Lenoir-Rhyne             69           
2020-02-12 @Clarion                  79  Edinboro                 70           
2020-02-12 @Emerson                 103  Clark MA                 70           
2020-02-12 @SMU                      79  Connecticut              75           
2020-02-12 @Tulsa                    70  East Carolina            56           
2020-02-12  Goucher                  79 @Elizabethtown            67           
2020-02-12  Furman                   86 @Samford                  71           
2020-02-12  Muhlenberg               71 @Haverford                50           
2020-02-12  Houston                  62 @South Florida            58           
2020-02-12  Kansas                   58 @West Virginia            49           
2020-02-12  Mercer                   70 @Wofford                  68           
2020-02-12 @Wilkes                   79  Misericordia             63           
2020-02-12  Pitt-Greensburg          60 @Mt Aloysius              54           
2020-02-12  Temple                   72 @Tulane                   68           
2020-02-12  WI Oshkosh               66 @WI Stevens Pt            59           
2020-02-12  Clemson                  72 @Pittsburgh               52           
2020-02-12 @Ohio St                  72  Rutgers                  66           
2020-02-12 @Georgia Tech             64  Louisville               58           
2020-02-12 @Oklahoma                 90  Iowa St                  61           
2020-02-12  Cent Georgia Tech        71 @Albany Tech              70           
2020-02-12  CCBC-Dundalk             76 @Allegany MD              68           
2020-02-12  Cloud Co                 71 @Allen Co                 66           
2020-02-12  Andrew Col               66 @S Georgia St             64           
2020-02-12  AZ Western               83 @South Mtn                50           
2020-02-12 @Miami-Dade               80  ASA Miami                79           
2020-02-12  Barton Co                89 @Northwest KS Tech        83           
2020-02-12 @LSU-Eunice               75  Baton Rouge CC           42           
2020-02-12 @Blinn                    90  Lee TX                   84           
2020-02-12  Bossier Parish           78 @Navarro                  69           
2020-02-12 @Cape Fear CC             86  Brunswick CC             83           
2020-02-12  Butler Co-KS            100 @Neosho Co                67           
2020-02-12  Casper College           92 @Eastern Wyoming          84           
2020-02-12 @Chand-Gilbert            58  C Arizona                57           
2020-02-12  Cent Wyoming             93 @Northwest WY             84           
2020-02-12 @Chipola                  61  NW Florida St            58           
2020-02-12  Motlow St                68 @Cleveland St CC          60           
2020-02-12 @Coastal Bend             76  Lamar St                 74           
2020-02-12 @Cochise                 101  Tohono O'odham           60           
2020-02-12  Coffeyville CC           77 @Independence CC          74           
2020-02-12 @Colby CC                 85  Seward Co                68           
2020-02-12 @Col Cent Florida         73  E Florida St             67           
2020-02-12  Collin Co                73 @Temple Col               62           
2020-02-12 @Daytona St               80  Santa Fe CC              73           
2020-02-12  USC Salkehatchie        116 @Denmark Tech             92           
2020-02-12  Hutchinson CC            71 @Dodge City CC            64           
2020-02-12 @Phoenix Col              66  Eastern Arizona          64           
2020-02-12  Gordon GA                61 @East Georgia Col         57           
2020-02-12  FL Southwestern          93 @Hillsborough CC          59           
2020-02-12 @Florida St-Jax           61  FL Gateway               55 FS        
2020-02-12  Pratt CC                 81 @Garden City CC           76           
2020-02-12  Georgia Highlands        70 @S Georgia Tech           66           
2020-02-12  Gillette                 92 @Sheridan WY              72           
2020-02-12  Pensacola St             89 @Gulf Coast CC            80           
2020-02-12  McLennan CC              63 @Hill Col                 52           
2020-02-12 @Indian Hills CC          90  N Central MO             72           
2020-02-12 @Indian River             87  Palm Beach St            65           
2020-02-12 @Jackson St CC           122  Volunteer St            116           
2020-02-12 @John Logan              115  Rend Lake                72           
2020-02-12  Lake Land IL             88 @Kaskaskia                82           
2020-02-12 @Kilgore                  74  Trinity Valley CC        70           
2020-02-12  W Wyoming CC            101 @Laramie Co               86           
2020-02-12  Wabash Val               82 @Lincoln Trail            78           
2020-02-12  Ellsworth CC             76 @Marshalltown CC          66           
2020-02-12 @Pima CC                  97  Mesa CC                  87           
2020-02-12 @SW MO St-WP              83  State Fair CC            72           
2020-02-12  Moberly Area            109 @MCC Maple Woods          93           
2020-02-12 @Cent CC-Columbus         85  Northeast CC             60           
2020-02-12  Olney                    72 @Vincennes                70           
2020-02-12  Panola                   86 @Paris JC                 60           
2020-02-12  Ranger                   87 @SW Chr TX                81           
2020-02-12 @SW Illinois              70  Shawnee CC               49           
2020-02-12 @St Petersburg            71  State Col Fla            68           
2020-02-12  Henry Ford CC            80 @Alpena CC                72           
2020-02-12  Ancilla                  75 @Grand Rapids CC          65           
2020-02-12  Bay Col                  82 @Gogebic CC               54           
2020-02-12  Louisburg                88 @Bry & Strat VA           50           
2020-02-12  S Suburban               78 @Bry & Strat WI           53           
2020-02-12 @Lakeland CC              81  Bry & Strat-Cle          68           
2020-02-12 @Catawba Val             118  Vance-Granville          53           
2020-02-12 @Cecil Col               103  Anne Arundel             62           
2020-02-12  Prince George's          67 @Chesapeake               61           
