2020-01-02 @ULM                      79  Troy                     63           
2020-01-02  Truman St                78 @Wm Jewell                63           
2020-01-02 @UC Santa Barbara         87  Westmont                 66           
2020-01-02 @Adrian                   89  North Park               65           
2020-01-02 @Angelo St                85  Permian Basin            77           
2020-01-02 @West Alabama             61  Auburn M'gomery          59           
2020-01-02 @Austin Peay              78  SE Missouri St           63           
2020-01-02 @Stanford                 68  California               52           
2020-01-02 @TX A&M Commerce          73  Cameron                  69           
2020-01-02  Robert Morris            89 @Central Conn             78           
2020-01-02 @Charlotte                51  UAB                      44           
2020-01-02  Ga Southern              70 @Coastal Car              67           
2020-01-02 @College of NJ            95  Wilkes                   69           
2020-01-02 @Colorado                 74  Oregon                   65           
2020-01-02  Concordia CA             82 @Notre Dame CA            49           
2020-01-02  Vermont                  77 @Dartmouth                68           
2020-01-02 @Dominican NY             84  Dist Columbia            66           
2020-01-02 @Nova SE                 100  Eckerd                   82           
2020-01-02 @Northeastern             77  Elon                     68           
2020-01-02 @Idaho                    72  Portland St              61           
2020-01-02 @Nicholls St              76  Incarnate Word           60           
2020-01-02 @King's PA                72  Penn Col Tech            64           
2020-01-02  Lamar                    74 @New Orleans              67           
2020-01-02  Lipscomb                 66 @Stetson                  63           
2020-01-02 @Winthrop                 91  Longwood                 67           
2020-01-02 @Wentworth Tech           61  MA Boston                55           
2020-01-02  Merrimack                65 @Sacred Heart             57           
2020-01-02 @M Hardin-Baylor          84  Univ Ozarks              80           
2020-01-02 @Northwood MI             55  WI Parkside              52           
2020-01-02 @Occidental               59  UC Santa Cruz            57           
2020-01-02 @Utah                     81  Oregon St                69           
2020-01-02 @Ouachita                 84  Southern Nazarene        78           
2020-01-02  SF Austin                82 @SE Louisiana             71           
2020-01-02  UCLA                     66 @Washington               64           
2020-01-02  USC                      65 @Washington St            56           
2020-01-02 @Valdosta St              88  West Florida             53           
2020-01-02  Ald-Broaddus             91 @Ohio Valley              86           
2020-01-02 @Bucknell                 67  Army                     65           
2020-01-02 @Assumption               91  Chestnut Hill            69           
2020-01-02  CS Chico                 69 @Cal St-LA                66           
2020-01-02  CS San Bern.             77 @S Francisco St           68           
2020-01-02  East Central OK          91 @Harding                  73           
2020-01-02  Emerson                  87 @Nichols                  81 O1        
2020-01-02 @Findlay                  75  Lake Erie                64           
2020-01-02 @FL Atlantic              79  UT San Antonio           64           
2020-01-02 @Indianapolis             82  Lewis                    67           
2020-01-02  Jacksonville St          76 @Morehead St              72           
2020-01-02 @Lubbock Chr              90  W New Mexico             58           
2020-01-02 @Palm Beach Atl           81  Tampa                    64           
2020-01-02 @Presbyterian             79  UNC Asheville            77           
2020-01-02 @N Colorado               68  Montana St               59           
2020-01-02  Liberty                  59 @FL Gulf Coast            46           
2020-01-02 @Georgia Highlands        86  Andrew Col               79           
2020-01-02  S Georgia Tech          101 @East Georgia Col         62           
2020-01-02  Frank Phillips           78 @Redlands CC              58           
2020-01-02  Gillette                 74 @Miles CC                 61           
2020-01-02 @S Georgia St             61  Gordon GA                56           
2020-01-02 @Lewis & Clark CC         73  StL CC-Meramec           62           
2020-01-02  Triton Col              111 @Col of Dupage            50           
2020-01-02 @Catawba Val              73  Lenoir CC                64           
2020-01-02  Davidson Co CC          126 @Cent Carolina CC         77           
2020-01-02 @Rock Valley              70  Wilbur Wright            65           
2020-01-02  Alameda                  81 @Napa Valley CC           72           
2020-01-02  Antelope Val CC          79  Fresno City Col          76           
2020-01-02 @Mt San Jacinto          100  Barstow CC               51           
2020-01-02 @Cerro Coso              104  Victor Valley            68           
2020-01-02 @Chaffey                  64  San Bernardino Val       51           
2020-01-02  Los Medanos              90 @Solano CC                76           
2020-01-02  Yuba                     86 @Merritt                  69           
2020-01-02 @MiraCosta                73  Santa Ana Col            42           
2020-01-02 @Barry                    88  Embry-Riddle FL          77           
2020-01-02 @Bellarmine               81  IL Springfield           57           
2020-01-02  Bentley                  85 @St Rose                  74           
2020-01-02  Brandeis                 65 @Bowdoin                  62           
2020-01-02  Russell Sage             64 @Castleton                56           
2020-01-02  Chris Newport            89 @Washington MD            57           
2020-01-02 @CS San Marcos            83  CSU East Bay             56           
2020-01-02 @Tennessee St             84  E Illinois               79           
2020-01-02 @Elms                     70  Norwich                  58           
2020-01-02  FL Southern              86 @Florida Tech             79           
2020-01-02 @Navy                     64  Lehigh                   58           
2020-01-02 @Limestone                74  Mt Olive                 69           
2020-01-02 @Lindenwood               78  Missouri S&T             73           
2020-01-02  Suffolk                  84 @Mt St Mary NY            60           
2020-01-02 @Old Dominion             70  MTSU                     60           
2020-01-02 @Murray St                89  TN Martin                76           
2020-01-02 @TX Wesleyan              90  Panhandle St             50           
2020-01-02 @Rockhurst                73  Quincy                   65           
2020-01-02 @Regis MA                 88  Rivier                   64           
2020-01-02 @Swarthmore               59  Rochester NY             56           
2020-01-02  Roger Williams           71 @Worcester St             66           
2020-01-02  Clarke                   82 @St Ambrose               69           
2020-01-02  Utah Valley              94 @Chicago St               73           
2020-01-02  Pacific                  59 @Pepperdine               56           
2020-01-02  St Mary's CA             69 @San Francisco            58           
2020-01-02 @Charleston So            89  SC Upstate               75           
2020-01-02 @Missouri KC              90  Seattle                  86 O3        
2020-01-02 @NC A&T                  123  Mid-Atlantic Chr         61           
2020-01-02 @Malone                   75  Trevecca Naz             53           
2020-01-02  S Puget Sound CC         68 @Bellevue CC              60           
2020-01-02 @Centralia Col            80  Olympic                  68           
2020-01-02 @Wenatchee Val CC         85  Columbia Basin           69           
2020-01-02 @Everett CC               98  Pierce CC                61           
2020-01-02  Spokane CC               81 @Walla Walla CC           73           
2020-01-02 @Yakima Val CC            78  Treasure Val CC          76           
2020-01-02 @Fayetteville St          88  Francis Marion           78           
2020-01-02 @Seattle Pacific          83  AK Anchorage             76           
2020-01-02 @Sul Ross                 85  Louisiana Col            64           
2020-01-02  AK Fairbanks             98 @St Martin's              88           
2020-01-02 @Post                     82  NYIT                     71           
2020-01-02  Arkansas-FS              64 @St Mary's TX             62           
2020-01-02 @Delta St                 73  Shorter                  62           
2020-01-02  Salem WV                 73 @Urbana                   63           
2020-01-02  Hartwick                 76 @SUNY Delhi               68           
2020-01-02 @Walsh                    80  KY Wesleyan              59           
2020-01-02  Alfred St                60 @Rochester Tech           58           
2020-01-02  North Greenville         83 @Emmanuel GA              77           
2020-01-02 @Saginaw Val              87  Purdue Northwest         74           
2020-01-02 @MO St Louis              83  Maryville MO             58           
2020-01-02 @Michigan Tech            80  Wayne St MI              68           
2020-01-02 @AL Huntsville            76  TN Wesleyan              64           
2020-01-02  Union KY                 80 @Bluefield VA             74 O1        
2020-01-02 @Columbia Intl            78  Truett-McConnell         74           
2020-01-02  Concordia NE             88 @Northwestern IA          65           
2020-01-02 @Dordt                    91  Doane                    55           
2020-01-02  Governors St             83 @Lincoln Col              77 O1        
2020-01-02 @Grace IN                 87  Great Lakes Chr          68           
2020-01-02  Jamestown                72 @Midland NE               69           
2020-01-02 @John Brown               70  Oklahoma S&A             55           
2020-01-02 @Faulkner                 75  Loyola NO                73           
2020-01-02  Morningside              91 @Mt Marty                 87           
2020-01-02 @SW Assemb God            90  Wayland                  60           
2020-01-02  Florida National         80  Apprentice               59           
2020-01-02 @Joliet JC                83  Madison Col              71           
2020-01-02  SAU Tech                 91 @South Arkansas           75           
2020-01-02  Mid-Am Chr              126 @Bacone                   72           
2020-01-02 @Blue Mtn                 92  Mobile                   83           
2020-01-02  Martin Meth              98 @Brewton-Parker           90           
2020-01-02 @Briar Cliff              90  Hastings                 87           
2020-01-02  Dalton St                85 @Florida Col              75           
2020-01-02 @Kentucky Chr             89  Alice Lloyd              78           
2020-01-02  Stillman                 72 @Bethel TN                67           
2020-01-02  Bryan                    83 @Reinhardt                80 O1        
2020-01-02 @Huntington              119  Siena Hts                85           
2020-01-02 @Langston                 88  OK City                  85           
2020-01-02  Wm Carey                 68 @Mid Georgia              63           
2020-01-02  Milligan                 80 @St Andrew's              78           
2020-01-02 @Col of the Desert       105  Palo Verde               71           
2020-01-02 @Haskell                  61  N New Mexico             60           
2020-01-02  Milwaukee Tech          119 @Harper                   54           
2020-01-02  Albany Tech              83 @So Crescent Tech         51           
2020-01-02 @North Idaho             107  Big Bend CC              74           
2020-01-02  Coe                      86 @Buena Vista              80 O2        
2020-01-02  Madonna                  86 @Lawrence Tech            70           
2020-01-02 @Carroll MT              111  Concordia AB             33           
2020-01-02 @Mendocino                86  Siskiyous                77           
2020-01-02  S Alberta Tech           73 @Seneca                   69           
2020-01-02 @Bry & Strat-Albany       84  Bry & Strat-Greece       73           
2020-01-02  Virgin Islands           89 @Bry & Strat-Buffalo      83           
2020-01-02 @Columbia MO              96  C Chr Bible              61           
2020-01-02 @R Morris Chi             94  East-West                89           
2020-01-02 @Westcliff                79  Life Pacific             68           
2020-01-02 @Western ON               93  Redeemer                 75           
2020-01-02  Col Marin                61  Contra Costa             52           
2020-01-02  E Nazarene               66 @ME Maritime              65           
2020-01-03 @Brockport St             87  Alfred                   64           
2020-01-03 @Ball St                  61  Toledo                   57           
2020-01-03 @MN Duluth                73  Bemidji St               57           
2020-01-03 @Berry                    92  Rhodes                   49           
2020-01-03 @Black Hills St           78  Western St CO            74           
2020-01-03 @Mansfield                81  Bloomsburg               75           
2020-01-03  Kent                     79 @Bowling Green            61           
2020-01-03 @Cal Poly                 85  Vanguard                 82           
2020-01-03  Manhattan                71 @Canisius                 67           
2020-01-03  Slippery Rock            73 @Clarion                  46           
2020-01-03  Colby                    79 @ME Maritime              59           
2020-01-03 @Col of Idaho             77  Corban                   67           
2020-01-03 @Dixie St                 75  Col Springs              61           
2020-01-03 @Haverford                70  Delaware Val             61           
2020-01-03 @Lebanon Val              69  Dickinson                56           
2020-01-03 @Elizabethtown            80  PSU-Harrisburg           71           
2020-01-03  Emmanuel MA              82 @Regis MA                 78           
2020-01-03  E Stroudsburg            71 @Kutztown                 63           
2020-01-03 @Niagara                  75  Fairfield                66           
2020-01-03 @Ft Lewis                 78  Metro St                 65           
2020-01-03 @George Fox               87  Willamette               56           
2020-01-03 @Seton Hall               78  Georgetown               62           
2020-01-03  Lake Forest             114 @Grinnell                 89           
2020-01-03  Gwynedd-Mercy            75 @PSU-Abington             60           
2020-01-03 @Oglethorpe               85  Hendrix                  81 O2        
2020-01-03  Lawrence                101 @Illinois Col             94           
2020-01-03  St Peter's               75 @Iona                     74           
2020-01-03  Quinnipiac               63 @Marist                   58           
2020-01-03 @Mercyhurst               73  Seton Hill               58           
2020-01-03 @S Dakota Tech            87  CO Mesa                  78           
2020-01-03 @Shippensburg             76  Millersville             65           
2020-01-03 @Millsaps                 80  Sewanee                  72           
2020-01-03 @St Cloud                 72  MN Crookston             57           
2020-01-03 @Siena                    75  Monmouth NJ              72           
2020-01-03  Winona St                89 @Moorhead St              77           
2020-01-03  Upper Iowa               95 @Northern St SD           86           
2020-01-03 @Whitworth                75  Pac Lutheran             59           
2020-01-03 @Whitman                  89  Puget Sound              84           
2020-01-03 @Schreiner                72  Centenary                65           
2020-01-03 @UC Davis                101  Holy Names               41           
2020-01-03  Southern Oregon         100 @Warner Pacific           92           
2020-01-03 @Springfield              77  Bridgewater MA           45           
2020-01-03 @Detroit                  66  N Kentucky               58           
2020-01-03  Northwest Chr           109 @Eastern Oregon           99           
2020-01-03 @Gannon                   79  Edinboro                 59           
2020-01-03 @Gordon                   95  Fisher                   86           
2020-01-03  Utica                   104 @Hamilton                 97           
2020-01-03 @WI Green Bay             85  IL Chicago               71           
2020-01-03 @WI Milwaukee             78  IUPUI                    74           
2020-01-03  Ripon                    81 @Knox                     65           
2020-01-03 @MN Mankato               87  Minot St                 79           
2020-01-03  Wright St                96 @Oakland                  69           
2020-01-03 @Tulsa                    70  Temple                   44           
2020-01-03  Wisconsin                61 @Ohio St                  57           
2020-01-03 @Houston                  78  UCF                      63           
2020-01-03  Rutgers                  79 @Nebraska                 62           
2020-01-03 @Tyler JC                 81  Angelina                 74           
2020-01-03  Indian Hills CC          98  Ark Baptist              64           
2020-01-03  Blinn                   105 @Bossier Parish           92           
