STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SUMLEV,STATE,COUNTY,TRACT,BLOCK,GEOID10_1,P0010001,P0010003,P0010004,P0020002,P0030001,P0030003,P0030004,P0040002
37,119,5611,1013,3.71E+14,Block 1013,G5040,,,S,17855,0,35.330671,-80.7076148,750,37,119,5611,1013,3.71E+14,60,9,43,7,43,9,31,5
37,119,5524,5021,3.71E+14,Block 5021,G5040,,,S,931605,1179,35.2990137,-80.7720668,750,37,119,5524,5021,3.71E+14,0,0,0,0,0,0,0,0
37,119,1801,1002,3.71E+14,Block 1002,G5040,,,S,68224,0,35.2060817,-80.8031384,750,37,119,1801,1002,3.71E+14,97,64,22,13,83,52,20,12
37,119,5832,1002,3.71E+14,Block 1002,G5040,,,S,2030,0,35.1079013,-80.7610714,750,37,119,5832,1002,3.71E+14,0,0,0,0,0,0,0,0
37,119,2903,3010,3.71E+14,Block 3010,G5040,,,S,78198,0,35.1432892,-80.820988,750,37,119,2903,3010,3.71E+14,22,21,0,0,20,19,0,0
37,119,2904,2000,3.71E+14,Block 2000,G5040,,,S,321095,0,35.1558737,-80.8009474,750,37,119,2904,2000,3.71E+14,1122,518,281,157,841,410,183,101
37,119,5828,2001,3.71E+14,Block 2001,G5040,,,S,225196,0,35.0988679,-80.8662212,750,37,119,5828,2001,3.71E+14,269,259,0,3,177,172,0,2
37,119,5823,3018,3.71E+14,Block 3018,G5040,,,S,39105,0,35.070513,-80.7300473,750,37,119,5823,3018,3.71E+14,95,73,5,5,58,46,3,4
37,119,5823,3011,3.71E+14,Block 3011,G5040,,,S,359771,0,35.0728284,-80.7339622,750,37,119,5823,3011,3.71E+14,520,435,30,25,317,267,20,18
37,119,5521,1001,3.71E+14,Block 1001,G5040,,,S,5649,0,35.3248487,-80.735762,750,37,119,5521,1001,3.71E+14,50,14,26,1,40,14,17,1
37,119,5907,2017,3.71E+14,Block 2017,G5040,,,S,0,494,35.1559713,-80.9985901,750,37,119,5907,2017,3.71E+14,0,0,0,0,0,0,0,0
37,119,3103,1007,3.71E+14,Block 1007,G5040,,,S,34268,0,35.1684989,-80.8575487,750,37,119,3103,1007,3.71E+14,34,34,0,0,32,32,0,0
37,119,3103,2034,3.71E+14,Block 2034,G5040,,,S,36766,0,35.1633898,-80.8678228,750,37,119,3103,2034,3.71E+14,49,36,6,6,40,31,3,3
37,119,2903,1004,3.71E+14,Block 1004,G5040,,,S,31275,0,35.1598236,-80.8041574,750,37,119,2903,1004,3.71E+14,20,19,1,0,16,15,1,0
37,119,2002,2013,3.71E+14,Block 2013,G5040,,,S,184909,0,35.1643584,-80.7889971,750,37,119,2002,2013,3.71E+14,143,132,7,0,106,98,5,0
37,119,3902,2016,3.71E+14,Block 2016,G5040,,,S,34445,0,35.2064722,-80.8947614,750,37,119,3902,2016,3.71E+14,166,0,166,1,85,0,85,0
37,119,3500,1006,3.71E+14,Block 1006,G5040,,,S,76083,0,35.2056269,-80.8436683,750,37,119,3500,1006,3.71E+14,78,76,0,0,70,68,0,0
37,119,5404,1009,3.71E+14,Block 1009,G5040,,,S,13093,0,35.2899276,-80.8164019,750,37,119,5404,1009,3.71E+14,50,0,33,17,29,0,18,11
37,119,800,2009,3.71E+14,Block 2009,G5040,,,S,11073,0,35.224891,-80.8263612,750,37,119,800,2009,3.71E+14,143,12,128,1,82,10,69,1
37,119,1911,3002,3.71E+14,Block 3002,G5040,,,S,37574,0,35.194373,-80.7111828,750,37,119,1911,3002,3.71E+14,75,31,26,27,60,28,19,19
37,119,1916,2009,3.71E+14,Block 2009,G5040,,,S,304186,0,35.1972302,-80.7112286,750,37,119,1916,2009,3.71E+14,142,121,5,22,123,113,5,15
37,119,5401,1024,3.71E+14,Block 1024,G5040,,,S,793638,2458,35.279466,-80.8412457,750,37,119,5401,1024,3.71E+14,25,22,3,0,23,20,3,0
37,119,1922,2004,3.71E+14,Block 2004,G5040,,,S,99042,0,35.2131799,-80.7009788,750,37,119,1922,2004,3.71E+14,137,67,33,44,101,56,24,25
37,119,1300,2017,3.71E+14,Block 2017,G5040,,,S,20935,0,35.2358896,-80.7961271,750,37,119,1300,2017,3.71E+14,51,34,13,1,34,29,5,0
37,119,1200,3021,3.71E+14,Block 3021,G5040,,,S,38996,0,35.2302883,-80.7971397,750,37,119,1200,3021,3.71E+14,36,27,5,0,27,22,3,0
37,119,1300,2014,3.71E+14,Block 2014,G5040,,,S,39584,0,35.237352,-80.7915671,750,37,119,1300,2014,3.71E+14,149,24,120,8,103,20,80,4
37,119,1300,1033,3.71E+14,Block 1033,G5040,,,S,50899,0,35.2358309,-80.7884841,750,37,119,1300,1033,3.71E+14,42,27,13,6,31,22,9,3
37,119,5305,3000,3.71E+14,Block 3000,G5040,,,S,28788,0,35.278143,-80.7771088,750,37,119,5305,3000,3.71E+14,31,2,29,0,24,2,22,0
37,119,5524,6023,3.71E+14,Block 6023,G5040,,,S,14711,0,35.2839072,-80.7752166,750,37,119,5524,6023,3.71E+14,0,0,0,0,0,0,0,0
37,119,5305,3004,3.71E+14,Block 3004,G5040,,,S,54282,0,35.275039,-80.7776969,750,37,119,5305,3004,3.71E+14,104,7,69,31,87,4,62,21
37,119,5524,5003,3.71E+14,Block 5003,G5040,,,S,20569,0,35.3106497,-80.75855,750,37,119,5524,5003,3.71E+14,0,0,0,0,0,0,0,0
37,119,1505,1027,3.71E+14,Block 1027,G5040,,,S,95256,0,35.2802048,-80.7605551,750,37,119,1505,1027,3.71E+14,80,25,23,27,58,22,17,15
37,119,5508,1034,3.71E+14,Block 1034,G5040,,,S,42018,0,35.3409783,-80.8028628,750,37,119,5508,1034,3.71E+14,97,54,37,9,65,36,24,4
37,119,3500,2021,3.71E+14,Block 2021,G5040,,,S,20567,0,35.2127568,-80.8555272,750,37,119,3500,2021,3.71E+14,0,0,0,0,0,0,0,0
37,119,3400,4001,3.71E+14,Block 4001,G5040,,,S,26065,0,35.2032727,-80.8639771,750,37,119,3400,4001,3.71E+14,0,0,0,0,0,0,0,0
37,119,3400,4018,3.71E+14,Block 4018,G5040,,,S,19219,0,35.2029183,-80.8631911,750,37,119,3400,4018,3.71E+14,23,19,3,0,22,18,3,0
37,119,3400,4017,3.71E+14,Block 4017,G5040,,,S,35537,0,35.2007076,-80.8594345,750,37,119,3400,4017,3.71E+14,57,50,2,2,55,49,2,2
37,119,4500,2008,3.71E+14,Block 2008,G5040,,,S,222900,242,35.2517727,-80.8786653,750,37,119,4500,2008,3.71E+14,111,16,63,0,68,15,40,0
37,119,5620,1028,3.71E+14,Block 1028,G5040,,,S,550,0,35.2266596,-80.6944629,750,37,119,5620,1028,3.71E+14,0,0,0,0,0,0,0,0
37,119,5508,1016,3.71E+14,Block 1016,G5040,,,S,126052,0,35.3437824,-80.8403559,750,37,119,5508,1016,3.71E+14,0,0,0,0,0,0,0,0
37,119,5508,1023,3.71E+14,Block 1023,G5040,,,S,0,51538,35.343397,-80.8122995,750,37,119,5508,1023,3.71E+14,0,0,0,0,0,0,0,0
37,119,5508,1038,3.71E+14,Block 1038,G5040,,,S,157856,0,35.3390871,-80.8003789,750,37,119,5508,1038,3.71E+14,185,122,42,14,144,99,33,11
37,119,5614,1029,3.71E+14,Block 1029,G5040,,,S,2671,0,35.2999583,-80.683222,750,37,119,5614,1029,3.71E+14,3,0,3,0,1,0,1,0
37,119,6008,2003,3.71E+14,Block 2003,G5040,,,S,25270,0,35.3118142,-80.9549715,750,37,119,6008,2003,3.71E+14,41,17,23,1,31,12,18,1
37,119,5610,1016,3.71E+14,Block 1016,G5040,,,S,14707,0,35.318923,-80.7082517,750,37,119,5610,1016,3.71E+14,23,6,9,8,17,6,6,5
37,119,3806,1016,3.71E+14,Block 1016,G5040,,,S,12947,0,35.149525,-80.9235192,750,37,119,3806,1016,3.71E+14,110,38,56,24,91,34,45,20
37,119,1912,3005,3.71E+14,Block 3005,G5040,,,S,61019,0,35.2288833,-80.7344812,750,37,119,1912,3005,3.71E+14,135,8,113,12,100,7,83,7
37,119,5403,1036,3.71E+14,Block 1036,G5040,,,S,173206,0,35.2836602,-80.83175,750,37,119,5403,1036,3.71E+14,78,8,58,5,42,5,28,4
37,119,5524,6031,3.71E+14,Block 6031,G5040,,,S,34734,0,35.2763766,-80.8040449,750,37,119,5524,6031,3.71E+14,0,0,0,0,0,0,0,0
37,119,5524,5031,3.71E+14,Block 5031,G5040,,,S,15801,0,35.2858971,-80.7619507,750,37,119,5524,5031,3.71E+14,0,0,0,0,0,0,0,0
37,119,5613,1019,3.71E+14,Block 1019,G5040,,,S,38477,0,35.2756049,-80.7300263,750,37,119,5613,1019,3.71E+14,0,0,0,0,0,0,0,0
37,119,6104,3006,3.71E+14,Block 3006,G5040,,,S,48383,0,35.3032786,-80.9138724,750,37,119,6104,3006,3.71E+14,36,8,24,4,26,4,18,2
37,119,5714,1005,3.71E+14,Block 1005,G5040,,,S,150048,0,35.2204998,-80.6140081,750,37,119,5714,1005,3.71E+14,40,40,0,0,30,30,0,0
37,119,5715,1020,3.71E+14,Block 1020,G5040,,,S,289238,0,35.2084147,-80.6051738,750,37,119,5715,1020,3.71E+14,64,57,4,4,47,43,2,3
37,119,5714,3018,3.71E+14,Block 3018,G5040,,,S,0,2496,35.1655554,-80.6061244,750,37,119,5714,3018,3.71E+14,0,0,0,0,0,0,0,0
37,119,5621,1013,3.71E+14,Block 1013,G5040,,,S,303773,6049,35.2438654,-80.6464196,750,37,119,5621,1013,3.71E+14,431,245,153,30,280,162,105,16
37,119,5715,1023,3.71E+14,Block 1023,G5040,,,S,93403,0,35.2087272,-80.6006748,750,37,119,5715,1023,3.71E+14,66,56,0,13,51,46,0,7
37,119,5706,3009,3.71E+14,Block 3009,G5040,,,S,24656,0,35.1887721,-80.6776181,750,37,119,5706,3009,3.71E+14,61,48,11,8,35,26,8,4
37,119,5714,3004,3.71E+14,Block 3004,G5040,,,S,106494,0,35.1776145,-80.599614,750,37,119,5714,3004,3.71E+14,79,78,0,1,59,59,0,1
37,119,5714,1012,3.71E+14,Block 1012,G5040,,,S,1158166,5116,35.2133589,-80.6260507,750,37,119,5714,1012,3.71E+14,89,89,0,0,65,65,0,0
37,119,5715,1030,3.71E+14,Block 1030,G5040,,,S,0,717,35.2126306,-80.5702077,750,37,119,5715,1030,3.71E+14,0,0,0,0,0,0,0,0
37,119,5706,2021,3.71E+14,Block 2021,G5040,,,S,18893,0,35.210765,-80.6421587,750,37,119,5706,2021,3.71E+14,0,0,0,0,0,0,0,0
37,119,5714,1022,3.71E+14,Block 1022,G5040,,,S,122429,0,35.2015184,-80.6307545,750,37,119,5714,1022,3.71E+14,29,25,4,0,18,16,2,0
37,119,5835,1000,3.71E+14,Block 1000,G5040,,,S,15229,0,35.1086889,-80.6923752,750,37,119,5835,1000,3.71E+14,0,0,0,0,0,0,0,0
37,119,5711,2032,3.71E+14,Block 2032,G5040,,,S,27284,0,35.1581888,-80.6978579,750,37,119,5711,2032,3.71E+14,26,17,2,0,15,10,2,0
37,119,5833,3017,3.71E+14,Block 3017,G5040,,,S,16666,0,35.1162419,-80.7302956,750,37,119,5833,3017,3.71E+14,26,26,0,0,25,25,0,0
37,119,5812,2008,3.71E+14,Block 2008,G5040,,,S,1019979,0,35.1313618,-80.723907,750,37,119,5812,2008,3.71E+14,0,0,0,0,0,0,0,0
37,119,5711,3035,3.71E+14,Block 3035,G5040,,,S,0,9544,35.1624319,-80.6825876,750,37,119,5711,3035,3.71E+14,0,0,0,0,0,0,0,0
37,119,5713,2020,3.71E+14,Block 2020,G5040,,,S,105743,0,35.142763,-80.6339265,750,37,119,5713,2020,3.71E+14,3,3,0,0,3,3,0,0
37,119,5713,2019,3.71E+14,Block 2019,G5040,,,S,45262,0,35.1448915,-80.6311022,750,37,119,5713,2019,3.71E+14,0,0,0,0,0,0,0,0
37,119,5834,1014,3.71E+14,Block 1014,G5040,,,S,50815,0,35.1092419,-80.7171419,750,37,119,5834,1014,3.71E+14,74,58,5,8,56,45,3,5
37,119,5834,2016,3.71E+14,Block 2016,G5040,,,S,44165,0,35.0987397,-80.7162549,750,37,119,5834,2016,3.71E+14,0,0,0,0,0,0,0,0
37,119,5834,2013,3.71E+14,Block 2013,G5040,,,S,275047,3330,35.1007559,-80.723408,750,37,119,5834,2013,3.71E+14,247,234,6,16,179,169,5,13
37,119,5834,1015,3.71E+14,Block 1015,G5040,,,S,49561,0,35.1131442,-80.7192554,750,37,119,5834,1015,3.71E+14,94,83,10,6,80,73,6,3
37,119,5712,2005,3.71E+14,Block 2005,G5040,,,S,32372,0,35.1261304,-80.6582994,750,37,119,5712,2005,3.71E+14,0,0,0,0,0,0,0,0
